Wed Nov  4 01:28:14 UTC 2015

The Tor BSD Diversity Project
https://torbsd.github.io/
Quick-and-Dirty Static Reports

Operating System Count:
-------
platform      Kbps
Linux         17821578
FreeBSD       891266
Windows       212647
OpenBSD       121336
Darwin        37774
SunOS         32887
NetBSD        13899
Bitrig        10968
ElectroBSD    3971
GNU/kFreeBSD  2201
DragonFly     801
GNU           246
