
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NUMBER

AS (records)      CONSENSUS_WEIGHT_FRAC
================  =============================================================
AS49025 (2)       0.1%
AS8218 (1)        0.1%
AS15154 (1)       0.1%
AS60117 (5)       0.1%
AS7489 (7)        0.1%
AS51659 (4)       0.1%
AS18451 (1)       0.1%
AS15545 (1)       0.1%
AS30693 (4)       0.1%
AS25513 (5)       0.1%
AS51290 (2)       0.1%
AS11403 (2)       0.1%
AS200533 (1)      0.1%
AS39651 (7)       0.1%
AS8997 (7)        0.0%
AS3301 (13)       0.0%
AS50979 (5)       0.0%
AS32338 (1)       0.0%
AS59741 (1)       0.0%
AS63473 (9)       0.0%
AS10996 (1)       0.0%
AS12552 (1)       0.0%
AS24971 (4)       0.0%
AS8220 (3)        0.0%
AS12093 (2)       0.0%
AS7363 (1)        0.0%
AS39020 (1)       0.0%
AS54290 (2)       0.0%
AS47541 (1)       0.0%
AS39392 (2)       0.0%
AS34274 (1)       0.0%
AS6718 (2)        0.0%
AS35352 (1)       0.0%
AS53850 (3)       0.0%
AS48031 (7)       0.0%
AS41653 (1)       0.0%
AS14536 (2)       0.0%
AS61157 (4)       0.0%
AS197706 (5)      0.0%
AS49505 (6)       0.0%
AS36352 (17)      0.0%
AS49855 (1)       0.0%
AS6128 (9)        0.0%
AS54540 (4)       0.0%
AS47748 (1)       0.0%
AS206313 (1)      0.0%
AS29713 (1)       0.0%
AS2852 (1)        0.0%
AS50297 (1)       0.0%
AS224 (2)         0.0%
AS25394 (2)       0.0%
AS48635 (8)       0.0%
AS33387 (3)       0.0%
AS23089 (1)       0.0%
AS6775 (2)        0.0%
AS23033 (3)       0.0%
AS197328 (3)      0.0%
AS31863 (3)       0.0%
AS44581 (4)       0.0%
AS56478 (4)       0.0%
AS34878 (1)       0.0%
AS62088 (3)       0.0%
AS8426 (1)        0.0%
AS50821 (3)       0.0%
AS52201 (4)       0.0%
AS18450 (1)       0.0%
AS15516 (5)       0.0%
AS31334 (48)      0.0%
AS17055 (5)       0.0%
AS42541 (1)       0.0%
AS41733 (6)       0.0%
AS8351 (1)        0.0%
AS57858 (2)       0.0%
AS35348 (1)       0.0%
AS8334 (4)        0.0%
AS41075 (1)       0.0%
AS39669 (4)       0.0%
AS53264 (4)       0.0%
AS204196 (1)      0.0%
AS206776 (10)     0.0%
AS30900 (2)       0.0%
AS16086 (5)       0.0%
AS43260 (1)       0.0%
AS6661 (1)        0.0%
AS6805 (31)       0.0%
AS48496 (2)       0.0%
AS6730 (2)        0.0%
AS15943 (8)       0.0%
AS36666 (1)       0.0%
AS8395 (1)        0.0%
AS58269 (1)       0.0%
AS32329 (3)       0.0%
AS7684 (10)       0.0%
AS15497 (2)       0.0%
AS1239 (3)        0.0%
AS29518 (3)       0.0%
AS3209 (31)       0.0%
AS52022 (1)       0.0%
AS48287 (1)       0.0%
AS200709 (10)     0.0%
AS198203 (5)      0.0%
AS12161 (1)       0.0%
AS30600 (1)       0.0%
AS12395 (1)       0.0%
AS44923 (2)       0.0%
AS22989 (1)       0.0%
AS22772 (2)       0.0%
AS30836 (2)       0.0%
AS54225 (1)       0.0%
AS24872 (1)       0.0%
AS14613 (2)       0.0%
AS49964 (1)       0.0%
AS26827 (1)       0.0%
AS3303 (8)        0.0%
AS9143 (12)       0.0%
AS42331 (2)       0.0%
AS49877 (2)       0.0%
AS200039 (6)      0.0%
AS26347 (4)       0.0%
AS20807 (2)       0.0%
AS2856 (15)       0.0%
AS35206 (1)       0.0%
AS48900 (1)       0.0%
AS3242 (1)        0.0%
AS42632 (1)       0.0%
AS20857 (6)       0.0%
AS196645 (3)      0.0%
AS1102 (1)        0.0%
AS29420 (1)       0.0%
AS12715 (9)       0.0%
AS14576 (2)       0.0%
AS20013 (1)       0.0%
AS44901 (7)       0.0%
AS198508 (1)      0.0%
AS3292 (10)       0.0%
AS45045 (2)       0.0%
AS12824 (2)       0.0%
AS29169 (5)       0.0%
AS199847 (1)      0.0%
AS35041 (1)       0.0%
AS43711 (1)       0.0%
AS3254 (3)        0.0%
AS34700 (1)       0.0%
AS206963 (1)      0.0%
AS25133 (1)       0.0%
AS58305 (1)       0.0%
AS3842 (10)       0.0%
AS43858 (2)       0.0%
AS30036 (3)       0.0%
AS48347 (3)       0.0%
AS54154 (1)       0.0%
AS111 (1)         0.0%
AS59682 (1)       0.0%
AS39309 (4)       0.0%
AS13213 (5)       0.0%
AS21211 (1)       0.0%
AS87 (1)          0.0%
AS34168 (1)       0.0%
AS30176 (1)       0.0%
AS34224 (6)       0.0%
AS44812 (5)       0.0%
AS59505 (1)       0.0%
AS32 (1)          0.0%
AS35699 (1)       0.0%
AS198171 (1)      0.0%
AS41425 (4)       0.0%
AS202905 (6)      0.0%
AS59491 (3)       0.0%
AS35141 (3)       0.0%
AS5089 (21)       0.0%
AS53755 (5)       0.0%
AS39642 (1)       0.0%
AS12874 (5)       0.0%
AS73 (1)          0.0%
AS43326 (2)       0.0%
AS20712 (2)       0.0%
AS11427 (12)      0.0%
AS21453 (1)       0.0%
AS13768 (2)       0.0%
AS48438 (1)       0.0%
AS47172 (2)       0.0%
AS43148 (2)       0.0%
AS15967 (3)       0.0%
AS10929 (1)       0.0%
AS3269 (7)        0.0%
AS5483 (3)        0.0%
AS57944 (1)       0.0%
