
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:31 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NUMBER

AS (records)      BANDWIDTH
AS42610 (13)      25102958 (0.1%)
AS19255 (1)       24826456 (0.1%)
AS15557 (16)      24455267 (0.1%)
AS6128 (9)        24380134 (0.1%)
AS394738 (2)      24182460 (0.1%)
AS30633 (2)       24166440 (0.1%)
AS3790 (9)        24079340 (0.1%)
AS15154 (1)       23969341 (0.1%)
AS21100 (3)       23933218 (0.1%)
AS57043 (3)       23758265 (0.1%)
AS7684 (9)        23643796 (0.1%)
AS56934 (13)      23196489 (0.1%)
AS41011 (2)       22873451 (0.1%)
AS12715 (9)       22848010 (0.1%)
AS87 (1)          22801821 (0.1%)
AS11404 (7)       22399841 (0.1%)
AS766 (1)         22249554 (0.1%)
AS15967 (4)       22238418 (0.1%)
AS41665 (1)       21879308 (0.1%)
AS7018 (21)       21748188 (0.1%)
AS33387 (6)       21643428 (0.1%)
AS48666 (4)       21592285 (0.1%)
AS44381 (1)       21448292 (0.1%)
AS31334 (44)      21205185 (0.1%)
AS34224 (8)       21139633 (0.1%)
AS50673 (7)       21123844 (0.1%)
AS1739 (10)       20814607 (0.1%)
AS8767 (15)       20390646 (0.1%)
AS63473 (10)      20042557 (0.1%)
AS2603 (1)        19973480 (0.1%)
AS5650 (11)       19953531 (0.1%)
AS823 (1)         19700380 (0.1%)
AS29066 (3)       19593598 (0.1%)
AS2607 (2)        19145888 (0.1%)
AS20857 (7)       19120500 (0.1%)
AS28788 (1)       19016004 (0.1%)
AS205406 (3)      18859008 (0.1%)
AS58302 (1)       18416102 (0.1%)
AS14618 (8)       18384630 (0.1%)
AS61157 (4)       18377715 (0.1%)
AS25513 (6)       18291347 (0.1%)
AS50979 (5)       18018748 (0.1%)
AS50360 (3)       17960037 (0.1%)
AS52201 (4)       17897743 (0.1%)
AS198156 (1)      17744896 (0.1%)
AS49505 (6)       17718498 (0.1%)
AS42331 (2)       17675457 (0.1%)
AS197988 (8)      17541243 (0.1%)
AS8283 (2)        17501663 (0.1%)
AS49409 (1)       17390622 (0.1%)
AS199968 (1)      17346560 (0.1%)
AS32 (1)          16859759 (0.1%)
AS8997 (6)        16772551 (0.1%)
AS50304 (2)       16694242 (0.1%)
AS6718 (2)        16611608 (0.1%)
AS197328 (3)      16578544 (0.1%)
AS52048 (2)       16542242 (0.1%)
AS35017 (13)      16528919 (0.1%)
AS60404 (9)       16375490 (0.1%)
AS62282 (13)      16184987 (0.1%)
AS48031 (7)       16176413 (0.1%)
AS47764 (1)       16020212 (0.1%)
AS49349 (4)       16001887 (0.1%)
AS11403 (3)       15885214 (0.1%)
AS9143 (13)       15830579 (0.1%)
AS18450 (1)       15629757 (0.1%)
AS12093 (2)       15473033 (0.1%)
AS10242 (2)       15447095 (0.1%)
AS29169 (7)       15248254 (0.1%)
AS35425 (6)       15228008 (0.1%)
AS39020 (1)       15221350 (0.1%)
AS50618 (2)       15200256 (0.1%)
AS36352 (11)      15184702 (0.1%)
AS1853 (1)        14997695 (0.1%)
AS7506 (6)        14926624 (0.1%)
AS206776 (10)     14919746 (0.1%)
AS1759 (9)        14895328 (0.1%)
AS20766 (2)       14884432 (0.1%)
AS29420 (1)       14722514 (0.1%)
AS6724 (14)       14586213 (0.1%)
AS51468 (1)       14434304 (0.1%)
AS25229 (6)       14330047 (0.1%)
AS62088 (3)       14323712 (0.1%)
AS6805 (33)       14156168 (0.1%)
AS34989 (4)       13781264 (0.1%)
AS23033 (4)       13731091 (0.1%)
AS60706 (1)       13578414 (0.1%)
AS5410 (14)       13541843 (0.1%)
AS50392 (1)       13513651 (0.1%)
AS206313 (1)      13512088 (0.1%)
AS34702 (1)       13328384 (0.1%)
AS197706 (5)      13308053 (0.1%)
AS30693 (4)       12913165 (0.0%)
AS29518 (4)       12908507 (0.0%)
AS24872 (1)       12843002 (0.0%)
AS200709 (10)     12827790 (0.0%)
AS31400 (10)      12686956 (0.0%)
AS54641 (1)       12683668 (0.0%)
AS54540 (3)       12676616 (0.0%)
AS35352 (1)       12590080 (0.0%)
AS15516 (5)       12552178 (0.0%)
AS41733 (6)       12518635 (0.0%)
AS53850 (3)       12290686 (0.0%)
AS41668 (2)       12262432 (0.0%)
AS60011 (2)       12171198 (0.0%)
AS50821 (3)       12094961 (0.0%)
AS39651 (8)       12090440 (0.0%)
AS20013 (1)       12077056 (0.0%)
AS31424 (1)       12074943 (0.0%)
AS46562 (4)       12059495 (0.0%)
AS6775 (2)        11999505 (0.0%)
AS20860 (5)       11977255 (0.0%)
AS51290 (2)       11858476 (0.0%)
AS34274 (1)       11857308 (0.0%)
AS47172 (8)       11748027 (0.0%)
AS29713 (1)       11706974 (0.0%)
AS17819 (16)      11667628 (0.0%)
AS2856 (18)       11648655 (0.0%)
AS42831 (1)       11584924 (0.0%)
AS8218 (1)        11542414 (0.0%)
AS3209 (27)       11537990 (0.0%)
AS43260 (1)       11521024 (0.0%)
AS12508 (1)       11488789 (0.0%)
AS8334 (4)        11402855 (0.0%)
AS20115 (22)      11378719 (0.0%)
AS47748 (1)       11335242 (0.0%)
AS35807 (4)       11214570 (0.0%)
AS48635 (7)       11153797 (0.0%)
AS50297 (1)       11140794 (0.0%)
AS18451 (1)       10922216 (0.0%)
AS8220 (3)        10861426 (0.0%)
AS48496 (2)       10833647 (0.0%)
AS204196 (1)      10786613 (0.0%)
AS41653 (1)       10687647 (0.0%)
AS10996 (1)       10657016 (0.0%)
AS23089 (1)       10649820 (0.0%)
AS62904 (2)       10647548 (0.0%)
AS19969 (3)       10565308 (0.0%)
AS5089 (25)       10553548 (0.0%)
AS11831 (1)       10536975 (0.0%)
AS64475 (1)       10535936 (0.0%)
AS1239 (2)        10462249 (0.0%)
AS3303 (8)        10454814 (0.0%)
AS14613 (2)       10202852 (0.0%)
AS8422 (9)        10099623 (0.0%)
AS59741 (1)       9975808 (0.0%)
AS34878 (1)       9943854 (0.0%)
AS4766 (8)        9923666 (0.0%)
AS45045 (2)       9875528 (0.0%)
AS22773 (18)      9803021 (0.0%)
AS45839 (11)      9658565 (0.0%)
AS10796 (16)      9614429 (0.0%)
AS44716 (1)       9601024 (0.0%)
AS56630 (2)       9584301 (0.0%)
AS9008 (1)        9568025 (0.0%)
AS49025 (1)       9427968 (0.0%)
AS43443 (1)       9337357 (0.0%)
AS41108 (1)       9332047 (0.0%)
AS49877 (2)       9271254 (0.0%)
AS52022 (1)       9145344 (0.0%)
AS56478 (4)       9091752 (0.0%)
AS30836 (2)       9083857 (0.0%)
AS15545 (1)       9075962 (0.0%)
AS3292 (9)        9058505 (0.0%)
AS6661 (1)        9047040 (0.0%)
AS1659 (5)        9011391 (0.0%)
AS25521 (1)       8977717 (0.0%)
AS32329 (3)       8955408 (0.0%)
AS44901 (8)       8935342 (0.0%)
AS133752 (7)      8870560 (0.0%)
AS200039 (6)      8780590 (0.0%)
AS2852 (1)        8730856 (0.0%)
AS44581 (3)       8704207 (0.0%)
AS8764 (2)        8686775 (0.0%)
AS12389 (12)      8520719 (0.0%)
AS47541 (1)       8520594 (0.0%)
AS200533 (1)      8519631 (0.0%)
AS198171 (1)      8494040 (0.0%)
AS199417 (3)      8474707 (0.0%)
AS59505 (1)       8379211 (0.0%)
AS32338 (1)       8311808 (0.0%)
AS198717 (1)      8304640 (0.0%)
AS49855 (1)       8227158 (0.0%)
AS47066 (4)       8183184 (0.0%)
AS53264 (3)       8136772 (0.0%)
AS9269 (1)        8134745 (0.0%)
AS224 (2)         8108737 (0.0%)
AS30083 (1)       8074329 (0.0%)
AS8426 (1)        7967691 (0.0%)
AS44923 (2)       7966756 (0.0%)
AS11427 (12)      7887457 (0.0%)
AS197155 (6)      7787942 (0.0%)
AS39324 (1)       7761321 (0.0%)
AS61030 (1)       7729407 (0.0%)
AS31200 (4)       7713882 (0.0%)
AS2527 (4)        7699255 (0.0%)
AS58269 (1)       7689216 (0.0%)
AS202905 (6)      7680582 (0.0%)
AS3254 (3)        7678350 (0.0%)
AS57858 (2)       7647641 (0.0%)
AS26827 (1)       7637760 (0.0%)
AS39669 (2)       7600181 (0.0%)
AS6871 (12)       7552632 (0.0%)
AS13188 (4)       7500879 (0.0%)
AS111 (1)         7462600 (0.0%)
