
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        CONSENSUS_WEIGHT_FRAC
=======================================================  ======================
Qwest Communications Company, LLC (21)                   0.1%
LIAZO SARL (2)                                           0.1%
FOP Smirnov V'yacheslav Valentunovuch (4)                0.1%
Blix Solutions AS (2)                                    0.1%
Tele2 Telecommunication GmbH (6)                         0.1%
AT&T Services, Inc. (25)                                 0.1%
DataClub S.A. (2)                                        0.1%
Lukman Multimedia Sp. z o.o (1)                          0.1%
M-net Telekommunikations GmbH (15)                       0.1%
Alexhost Srl (9)                                         0.1%
Simon Frerichs (2)                                       0.1%
Seti Weba Ltd (2)                                        0.1%
Hostkey B.v. (3)                                         0.1%
Comcast Cable Communications, LLC (90)                   0.1%
Martin Prager trading as NbIServ (17)                    0.1%
The University of Western Ontario (1)                    0.1%
ACONET (1)                                               0.1%
UAB Rakrejus (12)                                        0.1%
Netwerkvereniging Coloclue (2)                           0.1%
RCS & RDS (11)                                           0.1%
1&1 Versatel Deutschland GmbH (39)                       0.1%
VimpelCom (14)                                           0.1%
Net By Net Holding LLC (13)                              0.1%
Thor Data Center ehf (17)                                0.1%
NORDUnet (1)                                             0.1%
eSecureData (1)                                          0.1%
Aktsiaselts WaveCom (2)                                  0.1%
Tamatiya EOOD (3)                                        0.1%
Denetron LLC (2)                                         0.1%
Frontier Communications of America, Inc. (14)            0.1%
BHost Inc (3)                                            0.1%
RADIOGRAFICA COSTARRICENSE (12)                          0.1%
LLC Campus Networks (2)                                  0.1%
ServeTheWorld AS (3)                                     0.1%
Swiftway Sp. z o.o. (17)                                 0.1%
Magyar Telekom plc. (4)                                  0.1%
Obenetwork AB (4)                                        0.1%
Serverius Holding B.V. (7)                               0.1%
Zdruzenie pouzivatelov Slovenskej akademickej dato (2)   0.1%
Association Gitoyen (1)                                  0.1%
Digicube sas (5)                                         0.1%
vanoppen.biz LLC (9)                                     0.1%
Mir Telematiki Ltd (6)                                   0.1%
Strato AG (13)                                           0.1%
Time Warner Cable Internet LLC (49)                      0.1%
nexellent ag (1)                                         0.1%
Limited liability company Mail.Ru (1)                    0.1%
Bytemark Limited (7)                                     0.1%
Visual Online S.A. (1)                                   0.1%
Accelerated IT Services GmbH (12)                        0.1%
prgmr.com, Inc. (6)                                      0.1%
Ch-net S.r.l. (2)                                        0.1%
SITAB Infrastruktur (1)                                  0.1%
InMotion Hosting, Inc. (1)                               0.1%
Lanet Network Ltd (5)                                    0.1%
Bouygues Telecom SA (12)                                 0.1%
MAROSNET Telecommunication Company LLC (5)               0.1%
Studentersamfundet i Trondhjem (1)                       0.1%
XMission, L.C. (4)                                       0.1%
SFR SA (18)                                              0.1%
Telefonica De Espana (14)                                0.1%
Sologigabit S.L. (10)                                    0.1%
SkyNet Ltd. (4)                                          0.1%
iomart Cloud Services Limited. (5)                       0.1%
Joe's Datacenter, LLC (2)                                0.1%
JSC ER-Telecom Holding (15)                              0.1%
ITsjefen AS (1)                                          0.1%
Content Delivery Network Ltd (9)                         0.1%
PRO-ZETA a.s. (2)                                        0.1%
Zayo France SAS (1)                                      0.1%
Specialized Bulletin Board Systems (1)                   0.1%
Host Sailor Ltd. (5)                                     0.1%
Eonix Corporation (6)                                    0.1%
HostUS (7)                                               0.1%
LLC Baxet (4)                                            0.1%
LES.NET (1)                                              0.1%
OJS Moscow city telephone network (5)                    0.1%
Hosteam S.c. Tomasz Groszewski Bartosz Waszak Luka (2)   0.1%
The New York Internet Company (2)                        0.1%
Civil associaton Init Lab (1)                            0.1%
Com Hem AB (7)                                           0.1%
Hostiserver Ltd (1)                                      0.0%
Marco Sandro Naf (1)                                     0.0%
HostHatch, Inc (9)                                       0.0%
Concorde inc. (1)                                        0.0%
Master Internet s.r.o. (4)                               0.0%
